Protein.Ids	Genes	STEM	ND	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
Q684P5	RAP1GAP2	32627	35525	0.918432	2.75E-01
Q53HV7	SMUG1	3220	2720	1.1839175	2.75E-01
Q92581	SLC9A6	4921	5389	0.9130793	2.75E-01
Q629K1	TRIQK	18436	20374	0.9048603	2.76E-01
Q6UX06	OLFM4	7423	20112	0.3690974	2.76E-01
O75312	ZPR1	9750	10216	0.9544085	2.76E-01
Q9NY35	CLDND1	3202	3572	0.8964068	2.76E-01
Q16186	ADRM1	43316	45175	0.9588649	2.76E-01
P51617	IRAK1	2767	2660	1.039941	2.77E-01
Q14678	KANK1	3822	4077	0.9374428	2.77E-01
P17900	GM2A	21289	20539	1.0365143	2.77E-01
P62861	FAU	23814	27254	0.8738093	2.77E-01
Q9UNA1	ARHGAP26	2331	2159	1.0795206	2.77E-01
Q9GZX9	TWSG1	1061	1395	0.7611175	2.78E-01
P35222	CTNNB1	52799	55016	0.9597059	2.78E-01
Q9Y572	RIPK3	3314	3892	0.8515671	2.78E-01
Q9NZN8	CNOT2	8122	7846	1.0351546	2.78E-01
Q86WX3	RPS19BP1	3901	4186	0.9318813	2.78E-01
P62072	TIMM10	12317	13557	0.908555	2.78E-01
Q8TB03	CXorf38	2991	3250	0.9202865	2.80E-01
O95602	POLR1A	6887	7200	0.956548	2.81E-01
Q9HD67	MYO10	449	707	0.6339869	2.81E-01
Q8IV38	ANKMY2	11467	11880	0.9652388	2.81E-01
Q9UJC5	SH3BGRL2	7548	8312	0.9081416	2.82E-01
Q8WVK2	SNRNP27	7777	8303	0.9365831	2.83E-01
Q8NBX0	SCCPDH	90929	95083	0.9563119	2.84E-01
Q5GFL6	VWA2	2440	2189	1.1146345	2.84E-01
P23229	ITGA6	9100	10182	0.8937087	2.84E-01
Q96CN4	EVI5L	3737	3923	0.9525362	2.84E-01
Q3B726	POLR1F	3150	3333	0.9452724	2.84E-01
Q32P41	TRMT5	9580	9220	1.0389949	2.84E-01
P13056	NR2C1	699	618	1.131618	2.84E-01
Q6EMK4	VASN	945	1451	0.6512526	2.84E-01
Q9Y4G8	RAPGEF2	1281	1167	1.0974606	2.85E-01
Q96BJ3	AIDA	18756	19666	0.9537222	2.85E-01
Q5U651	RASIP1	4192	5536	0.7571622	2.85E-01
Q96DA6	DNAJC19	17403	18809	0.9252189	2.85E-01
Q76N32	CEP68	1196	1318	0.9073652	2.86E-01
Q14667	KIAA0100	62086	65327	0.9503754	2.86E-01
Q13557	CAMK2D	94929	99623	0.952885	2.86E-01
Q5T9A4	ATAD3B	6881	6403	1.0745263	2.87E-01
Q70EL1	USP54	5441	6197	0.8779942	2.87E-01
Q6ZRI6	C15orf39	327	280	1.1708527	2.87E-01
Q99704	DOK1	615	660	0.9313514	2.88E-01
P84101	SERF2	4453	4075	1.0926435	2.89E-01
Q14247	CTTN	41219	43617	0.9450138	2.89E-01
Q13459	MYO9B	3872	3735	1.0366269	2.89E-01
Q9NWQ8	PAG1	363	577	0.6297398	2.89E-01
Q9BTN0	LRFN3	2050	1795	1.1424563	2.89E-01
Q8WV60	PTCD2	1653	2255	0.7330739	2.90E-01
Q9Y4I1	MYO5A	26157	24456	1.0695808	2.90E-01
Q9UPU9	SAMD4A	1784	2038	0.875271	2.90E-01
Q969E2	SCAMP4	11198	9608	1.1654915	2.91E-01
P22760	AADAC	2332	5582	0.4177877	2.90E-01
P04040	CAT	33302	36130	0.9217282	2.91E-01
P51793	CLCN4	4931	4499	1.096139	2.92E-01
Q13045	FLII	26394	27533	0.9586081	2.92E-01
O15018	PDZD2	6806	9106	0.7474588	2.92E-01
Q9H6L2	TMEM231	3200	3452	0.9268128	2.94E-01
Q7Z2E3	APTX	6568	6957	0.9440331	2.94E-01
Q8N0Z3	SPICE1	1746	1933	0.9034229	2.94E-01
P48544	KCNJ5	6316	10878	0.5805698	2.94E-01
Q06546	GABPA	10175	9509	1.0700925	2.94E-01
O14907	TAX1BP3	8725	9695	0.8999942	2.94E-01
Q10587	TEF	171	427	0.3997472	2.95E-01
Q8WXD5	GEMIN6	3806	3417	1.1140207	2.95E-01
P07947	YES1	22391	23752	0.9427248	2.96E-01
Q9BV86	NTMT1	10670	9889	1.0788968	2.96E-01
Q9NTK5	OLA1	119773	117569	1.0187475	2.96E-01
P02671	FGA	1834	2497	0.7343628	2.96E-01
Q9NXR1	NDE1	1009	951	1.0605821	2.96E-01
Q6P087	RPUSD3	1854	2083	0.8903725	2.97E-01
Q9NWH9	SLTM	22329	23277	0.9592564	2.97E-01
Q9Y6R1	SLC4A4	16488	18459	0.8932352	2.98E-01
Q9NZT1	CALML5	1090	1201	0.9074917	2.99E-01
Q9NY93	DDX56	9236	8836	1.0451652	3.00E-01
Q9H8M2	BRD9	1187	1027	1.1553479	3.01E-01
P01034	CST3	167381	184599	0.9067281	3.02E-01
Q9H6K1	ILRUN	379	474	0.7989861	3.02E-01
O15344	MID1	4348	4779	0.9098336	3.03E-01
Q8IW35	CEP97	3730	4180	0.8923665	3.03E-01
Q9Y2J2	EPB41L3	66117	70710	0.9350319	3.04E-01
Q9Y2K7	KDM2A	7743	8147	0.9504665	3.04E-01
Q8IUC4	RHPN2	3478	2875	1.2096683	3.04E-01
Q9H7Z3	NRDE2	3760	3537	1.0632555	3.04E-01
P06870	KLK1	3166	2994	1.0575895	3.04E-01
Q96S59	RANBP9	5028	5261	0.9557268	3.05E-01
Q8IUF1	CBWD2	3582	3336	1.0735659	3.05E-01
Q9NZZ3	CHMP5	7673	7248	1.058727	3.05E-01
Q9BXM0	PRX	868	1769	0.4904413	3.06E-01
P25098	GRK2	13972	14547	0.9604948	3.06E-01
P29474	NOS3	3393	6197	0.5475021	3.07E-01
P49207	RPL34	125668	134274	0.9359078	3.07E-01
P48357	LEPR	6933	7040	0.9847474	3.07E-01
Q9GZY4	COA1	4146	3807	1.0889864	3.08E-01
P20393	NR1D1	663	747	0.8865475	3.08E-01
O15145	ARPC3	132857	137331	0.9674278	3.08E-01
Q9Y2C3	B3GALT5	7484	8464	0.8841469	3.09E-01
Q02878	RPL6	245074	271566	0.9024476	3.09E-01
P13804	ETFA	120032	125983	0.9527647	3.10E-01
O60353	FZD6	447	546	0.8187491	3.10E-01
Q9NXE4	SMPD4	15483	14939	1.0364248	3.10E-01
Q2T9J0	TYSND1	865	826	1.0480471	3.10E-01
Q96D05	FAM241B	6092	5541	1.0995081	3.10E-01
Q14642	INPP5A	3433	3126	1.0981348	3.11E-01
O94885	SASH1	4081	3568	1.1438124	3.11E-01
P40227	CCT6A	114615	112392	1.0197841	3.12E-01
P22670	RFX1	8348	8096	1.0310536	3.12E-01
Q15569	TESK1	932	1122	0.8304672	3.13E-01
Q8N699	MYCT1	1790	2925	0.6119601	3.13E-01
Q9P031	CCDC59	5186	5572	0.9306566	3.13E-01
P23470	PTPRG	1200	2096	0.5721934	3.13E-01
Q9H6T0	ESRP2	4244	4651	0.9124443	3.14E-01
P38935	IGHMBP2	2662	2954	0.9013358	3.14E-01
A7KAX9	ARHGAP32	5010	4611	1.0865195	3.15E-01
Q7Z3B4	NUP54	19173	18449	1.0392581	3.15E-01
Q96MT8	CEP63	653	1289	0.5065987	3.15E-01
Q5VV17	OTUD1	1389	934	1.4866043	3.15E-01
Q9UG01	IFT172	2061	1909	1.079411	3.16E-01
Q9Y5U9	IER3IP1	27441	29868	0.9187406	3.16E-01
P50990	CCT8	240734	236541	1.0177273	3.16E-01
P49716	CEBPD	554	828	0.6689584	3.17E-01
Q5T2W1	PDZK1	18516	16410	1.1283476	3.17E-01
O43529	CHST10	2019	2160	0.9348521	3.18E-01
Q9ULG1	INO80	1348	1244	1.0840963	3.18E-01
Q96RS0	TGS1	919	1261	0.7288228	3.18E-01
O75127	PTCD1	2210	2401	0.9204899	3.20E-01
Q86V88	MDP1	31112	32879	0.9462538	3.20E-01
Q9UKD1	GMEB2	4634	4907	0.9443914	3.20E-01
Q9GZU8	PSME3IP1	1964	2108	0.9315673	3.20E-01
P50148	GNAQ	24957	23710	1.0525894	3.21E-01
O43303	CCP110	1864	1846	1.009563	3.21E-01
Q86VP3	PACS2	7318	7093	1.0317503	3.22E-01
Q96LW7	CARD19	5751	6077	0.9463268	3.22E-01
Q9Y5J9	TIMM8B	1265	1038	1.2185081	3.22E-01
Q9NQ92	COPRS	3548	3841	0.9237368	3.22E-01
O14521	SDHD	17021	18592	0.9154893	3.22E-01
Q93063	EXT2	593	683	0.8690404	3.23E-01
Q9H1K0	RBSN	5421	5070	1.0691864	3.24E-01
Q96C12	ARMC5	2245	2137	1.0505447	3.25E-01
Q9H410	DSN1	1816	1633	1.1118161	3.25E-01
Q9BT88	SYT11	3884	5454	0.7121589	3.26E-01
Q6IQ20	NAPEPLD	2446	3014	0.8113891	3.26E-01
O75954	TSPAN9	1691	1958	0.8638386	3.27E-01
Q9UJ70	NAGK	54700	52910	1.0338181	3.27E-01
Q86VP6	CAND1	128265	132023	0.9715377	3.28E-01
Q08554	DSC1	5287	5265	1.0040617	3.28E-01
Q6UX07	DHRS13	9548	9051	1.0548199	3.28E-01
O75915	ARL6IP5	74984	78149	0.9595091	3.28E-01
P00439	PAH	5138	5369	0.9570978	3.29E-01
Q04837	SSBP1	212236	224315	0.9461485	3.30E-01
Q9P0V9	SEPTIN10	8400	8844	0.9498341	3.31E-01
P53355	DAPK1	5354	4888	1.0952139	3.32E-01
Q9H9Y4	GPN2	269	239	1.1220374	3.33E-01
Q9NPB6	PARD6A	419	564	0.7424951	3.33E-01
Q9NSK0	KLC4	22743	21727	1.0467685	3.34E-01
Q13393	PLD1	2728	2856	0.9550591	3.34E-01
Q8IZS8	CACNA2D3	1472	2255	0.6529284	3.34E-01
Q15528	MED22	3762	4084	0.9212122	3.34E-01
Q96NL8	C8orf37	272	198	1.3733218	3.34E-01
Q9HBI6	CYP4F11	631	2616	0.2412244	3.36E-01
Q9BUF7	CRB3	1048	1113	0.9415335	3.37E-01
Q96FH0	BORCS8	6731	7221	0.9320897	3.37E-01
Q9UGI8	TES	33955	31583	1.0751048	3.37E-01
Q15014	MORF4L2	5189	5075	1.022424	3.38E-01
P43121	MCAM	10785	9442	1.1422934	3.38E-01
O95359	TACC2	8406	7929	1.0601832	3.38E-01
Q02040	AKAP17A	33677	35715	0.9429215	3.39E-01
P23219	PTGS1	10824	4757	2.2751462	3.39E-01
O96006	ZBED1	3549	3277	1.0829211	3.39E-01
P35244	RPA3	13930	13014	1.0703943	3.39E-01
Q8IWD4	CCDC117	6156	6753	0.9116607	3.40E-01
O00193	SMAP	13586	12854	1.0569708	3.41E-01
Q9UPW0	FOXJ3	1725	1895	0.9104347	3.41E-01
Q96HY7	DHTKD1	15629	16738	0.9337561	3.43E-01
Q7L9L4	MOB1B	36331	35270	1.0300875	3.43E-01
Q7L211	ABHD13	7748	7172	1.0802601	3.43E-01
Q9NUQ6	SPATS2L	8062	7646	1.05429	3.43E-01
P29536	LMOD1	3806	4869	0.7816827	3.46E-01
A1XBS5	FAM92A	1078	940	1.1472131	3.46E-01
Q9Y2Q5	LAMTOR2	7857	7401	1.0616771	3.46E-01
P37198	NUP62	10902	10436	1.0446849	3.46E-01
Q9NVM4	PRMT7	1618	1984	0.8157051	3.47E-01
Q8NC51	SERBP1	64980	62271	1.043504	3.48E-01
Q14194	CRMP1	131685	119730	1.0998506	3.48E-01
Q96AD5	PNPLA2	1795	1664	1.078642	3.49E-01
Q9NV31	IMP3	4275	4550	0.9395027	3.49E-01
P25490	YY1	6907	7304	0.9456972	3.49E-01
Q9Y6M7	SLC4A7	1435	1110	1.2922406	3.49E-01
Q9NVI7	ATAD3A	36700	35356	1.0379905	3.50E-01
Q8HWS3	RFX6	1000	953	1.0497455	3.50E-01
Q9NWT8	AURKAIP1	2058	2710	0.7592401	3.50E-01
Q9H871	RMND5A	2106	2268	0.9286639	3.50E-01
Q96AB6	NTAN1	1437	1344	1.0688563	3.50E-01
Q14289	PTK2B	3400	2498	1.361132	3.51E-01
Q86YS3	RAB11FIP4	561	721	0.7776928	3.52E-01
Q9NYL9	TMOD3	15671	16790	0.9333478	3.54E-01
P31629	HIVEP2	1631	838	1.9455158	3.55E-01
Q9NPL8	TIMMDC1	9925	10424	0.9520974	3.57E-01
Q8IWB9	TEX2	3560	3755	0.9481161	3.57E-01
P42773	CDKN2C	5860	7542	0.7769342	3.58E-01
P07686	HEXB	63746	51205	1.2449009	3.58E-01
O95837	GNA14	7431	6896	1.0775213	3.59E-01
Q9Y6R9	CCDC61	1209	1770	0.6829342	3.59E-01
A6NNC1		1081	2647	0.4085213	3.59E-01
Q8NCY6	MSANTD4	46255	26041	1.7761898	3.60E-01
Q86UX7	FERMT3	4060	4548	0.8928422	3.60E-01
Q9BRT3	MIEN1	10975	9856	1.1134838	3.60E-01
O00712	NFIB	4552	5360	0.8493148	3.61E-01
O60733	PLA2G6	1546	1656	0.9334288	3.61E-01
O43257	ZNHIT1	943	951	0.9909111	3.61E-01
Q96HR8	NAF1	1781	1617	1.1017234	3.61E-01
Q9P2K3	RCOR3	12677	12293	1.0312317	3.62E-01
Q9NSU2	TREX1	2310	4110	0.5619909	3.62E-01
Q96EW2	HSPBAP1	2550	2325	1.0969023	3.62E-01
Q9BYG3	NIFK	5563	5879	0.9462427	3.64E-01
P23193	TCEA1	38886	37248	1.0439853	3.64E-01
O75528	TADA3	1107	1268	0.8726414	3.64E-01
P08253	MMP2	1200	1417	0.8467651	3.65E-01
P02652	APOA2	1173	932	1.258042	3.65E-01
P01911	HLA-DRB1	4275	6985	0.6120095	3.66E-01
Q96N46	TTC14	2464	3781	0.6517499	3.66E-01
Q96HU8	DIRAS2	1526	1835	0.831593	3.67E-01
O60678	PRMT3	996	1081	0.921798	3.67E-01
Q8NFY9	KBTBD8	1887	3314	0.5692549	3.67E-01
Q8N6T3	ARFGAP1	22908	22257	1.0292846	3.67E-01
Q96DE0	NUDT16	25334	26769	0.9463951	3.68E-01
P20815	CYP3A5	583	1512	0.385749	3.68E-01
Q969X6	UTP4	7069	6727	1.0507471	3.69E-01
Q9NRA8	EIF4ENIF1	2695	2601	1.0360985	3.69E-01
Q5T9L3	WLS	9269	9796	0.9461809	3.69E-01
Q8WUG5	SLC22A17	4737	5260	0.9004647	3.69E-01
P62745	RHOB	7784	7582	1.026609	3.69E-01
P56378	ATP5MPL	32993	31169	1.0585086	3.69E-01
Q9H079	KATNBL1	108	138	0.7810155	3.69E-01
Q7Z739	YTHDF3	28819	27822	1.035823	3.70E-01
P55265	ADAR	64610	62320	1.0367479	3.70E-01
Q8IZ41	RASEF	811	1530	0.5299165	3.71E-01
Q8TF01	PNISR	1833	1543	1.1878075	3.71E-01
Q5JTJ3	COA6	2050	2318	0.8845047	3.71E-01
P31153	MAT2A	39499	41883	0.9430749	3.71E-01
Q16647	PTGIS	7026	5842	1.2025814	3.71E-01
Q9UBC2	EPS15L1	20335	19350	1.0508699	3.71E-01
Q9P1Q0	VPS54	1623	1742	0.9320615	3.72E-01
P19623	SRM	87349	83805	1.0422841	3.72E-01
Q7Z589	EMSY	2934	2752	1.0660064	3.73E-01
Q9UBF8	PI4KB	4349	4527	0.9605617	3.73E-01
Q5VSG8	MANEAL	4409	4698	0.938467	3.73E-01
O60568	PLOD3	33638	32896	1.0225717	3.74E-01
O75351	VPS4B	85536	83451	1.0249817	3.74E-01
Q8WWI5	SLC44A1	6525	6856	0.9517024	3.74E-01
Q14137	BOP1.00	8054	7627	1.0559648	3.74E-01
Q52LR7	EPC2	1333	1227	1.0860284	3.74E-01
Q96EM0	L3HYPDH	626	577	1.0839505	3.74E-01
Q15185	PTGES3	28147	29245	0.9624458	3.75E-01
A7MBM2	DISP2	918	1009	0.9094813	3.75E-01
O60508	CDC40	5686	5448	1.043711	3.75E-01
O14730	RIOK3	13669	5574	2.4521306	3.75E-01
A6NEL2	SOWAHB	2603	2829	0.9198505	3.78E-01
P51858	HDGF	89755	93996	0.9548835	3.78E-01
Q8NI36	WDR36	7756	7384	1.0502768	3.78E-01
Q9BUB5	MKNK1	2164	2488	0.8696034	3.78E-01
Q5T1V6	DDX59	3088	3234	0.955047	3.80E-01
Q9NZ56	FMN2	851	727	1.1702154	3.80E-01
Q86UP6	CUZD1	10592	28586	0.3705407	3.80E-01
A6NKT7	RGPD3	12895	13403	0.9621124	3.80E-01
Q96KN1	LRATD2	15290	14232	1.0743189	3.80E-01
P48382	RFX5	2023	1971	1.0263389	3.80E-01
Q6PCB8	EMB	2289	1890	1.2112539	3.81E-01
P01130	LDLR	6081	6618	0.9189007	3.81E-01
O60911	CTSV	931	715	1.3025261	3.81E-01
Q92765	FRZB	1246	3616	0.3447038	3.81E-01
Q9Y316	MEMO1	10233	9745	1.0500586	3.81E-01
Q02083	NAAA	14743	15720	0.9378939	3.81E-01
Q9H4I9	SMDT1	8623	7882	1.0940107	3.81E-01
Q86X10	RALGAPB	15110	15615	0.967662	3.82E-01
A6NCC3	GOLGA8O	603	1688	0.3571388	3.82E-01
P82932	MRPS6	5859	5613	1.0438047	3.82E-01
P98153	DGCR2	1608	1286	1.2498125	3.81E-01
Q8IYH5	ZZZ3	1776	1588	1.1187069	3.82E-01
Q9UH77	KLHL3	1357	820	1.6551926	3.82E-01
P40925	MDH1	587721	598080	0.9826793	3.82E-01
Q8N567	ZCCHC9	685	895	0.7653699	3.82E-01
Q13561	DCTN2	68456	71096	0.9628695	3.83E-01
P53609	PGGT1B	18541	19090	0.9712372	3.84E-01
P11216	PYGB	62942	52100	1.2080926	3.84E-01
Q16769	QPCT	190056	163635	1.1614644	3.86E-01
Q969Q0	RPL36AL	44218	47014	0.9405301	3.86E-01
Q2M3V2	SOWAHA	420	592	0.7107881	3.87E-01
Q86T03	PIP4P1	2106	1969	1.0698048	3.87E-01
P62805	H4C1	2363284	2477180	0.9540219	3.87E-01
P52895	AKR1C2	22577	33120	0.6816895	3.88E-01
Q8TCJ2	STT3B	37652	38962	0.966394	3.88E-01
P78316	NOP14	5263	5535	0.9510088	3.88E-01
Q9NZH8	IL36G	1812	1467	1.2352673	3.88E-01
Q8WXD2	SCG3	52224	48110	1.0855024	3.89E-01
Q9Y520	PRRC2C	17684	17340	1.0198474	3.89E-01
Q9NX18	SDHAF2	2522	2350	1.0730728	3.90E-01
Q9UM00	TMCO1	22351	21634	1.0331569	3.91E-01
P61165	TMEM258	17364	19933	0.8710907	3.90E-01
Q4J6C6	PREPL	10731	11319	0.9480295	3.91E-01
Q9Y4J8	DTNA	11405	10950	1.0415619	3.91E-01
Q96FQ6	S100A16	4491	4171	1.0768445	3.92E-01
P31327	CPS1	1181	1166	1.0122509	3.92E-01
Q01813	PFKP	48246	37825	1.2754916	3.92E-01
Q5PSV4	BRMS1L	4161	3814	1.0910656	3.92E-01
Q86WT1	TTC30A	5485	5215	1.0516438	3.93E-01
Q9NZT2	OGFR	10222	10674	0.9575834	3.93E-01
Q92575	UBXN4	41407	39871	1.0385453	3.94E-01
Q5VYS8	TUT7	3950	3807	1.0375921	3.94E-01
Q8TDR2	STK35	294	343	0.8568125	3.94E-01
P41162	ETV3	667	840	0.793443	3.94E-01
Q6P1K2	PMF1	347	275	1.264015	3.94E-01
Q99988	GDF15	5648	6198	0.911295	3.94E-01
P42336	PIK3CA	859	832	1.032434	3.94E-01
Q86XI8	ZSWIM9	1417	1170	1.2117005	3.95E-01
Q92540	SMG7	2000	1846	1.0834003	3.95E-01
O75964	ATP5MG	153289	165368	0.9269562	3.96E-01
Q8IYL3	C1orf174	5948	6387	0.931204	3.95E-01
Q5TGZ0	MICOS10	2934	3264	0.8988107	3.95E-01
Q96NT5	SLC46A1	2541	2750	0.9241292	3.95E-01
Q9P0M2	AKAP7	2663	2290	1.1625168	3.96E-01
Q9H6E5	TUT1	2745	2349	1.1684493	3.96E-01
Q9Y3C1	NOP16	6930	7238	0.9575038	3.96E-01
Q9UFC0	LRWD1	7809	7522	1.038185	3.97E-01
O14841	OPLAH	8460	9026	0.9372856	3.97E-01
P31025	LCN1	3399	3097	1.0974316	3.99E-01
Q8TD22	SFXN5	12126	12695	0.9551982	3.99E-01
L0R819	ASDURF	1191	1377	0.8650759	4.00E-01
P28702	RXRB	3306	3466	0.953768	4.00E-01
O43237	DYNC1LI2	36485	37713	0.9674313	4.00E-01
Q8WXG6	MADD	14240	14871	0.9575641	4.01E-01
Q9BXK1	KLF16	146	186	0.7840342	4.02E-01
Q32NC0	C18orf21	416	303	1.3764291	4.02E-01
Q6UXI9	NPNT	1319	1693	0.7788295	4.02E-01
Q01459	CTBS	31469	23003	1.3680789	4.03E-01
P31939	ATIC	102135	96974	1.0532229	4.03E-01
Q8TBB1	LNX1	13068	13805	0.9466073	4.04E-01
O00124	UBXN8	196	159	1.2355103	4.04E-01
P49810	PSEN2	46310	44542	1.0397037	4.05E-01
Q86VW0	SESTD1	1094	805	1.3596645	4.07E-01
Q86WG5	SBF2	2134	2053	1.0393093	4.07E-01
P68400	CSNK2A1	33365	32582	1.024029	4.07E-01
Q86XA9	HEATR5A	47131	17408	2.7073836	4.07E-01
Q9Y4B5	MTCL1	34839	37828	0.9209934	4.07E-01
Q9NZP8	C1RL	2342	3090	0.7578598	4.08E-01
Q8NE86	MCU	29522	30663	0.9627716	4.08E-01
Q9C0J9	BHLHE41	146	323	0.4534481	4.08E-01
Q9H5N1	RABEP2	10288	9764	1.053678	4.08E-01
P04150	NR3C1	3987	4242	0.9398763	4.08E-01
O95625	ZBTB11	2351	3136	0.7497913	4.08E-01
Q9H147	DNTTIP1	1570	1729	0.9076988	4.08E-01
P17612	PRKACA	47421	48866	0.9704344	4.10E-01
Q9UBS0	RPS6KB2	2078	2013	1.0321348	4.10E-01
Q9BUK6	MSTO1	7062	6854	1.0303086	4.12E-01
Q9BTE7	DCUN1D5	9576	9203	1.04047	4.13E-01
P46821	MAP1B	78893	73009	1.0805904	4.13E-01
Q96RV3	PCNX1	328	440	0.7454012	4.13E-01
Q5VYV7	SLX4IP	95	198	0.4808901	4.13E-01
P68543	UBXN2A	126	184	0.687336	4.13E-01
Q16222	UAP1	10757	11385	0.9448539	4.13E-01
Q86WN1	FCHSD1	1315	1466	0.8971438	4.14E-01
Q9UDY4	DNAJB4	6863	7084	0.9687229	4.14E-01
Q9UPP1	PHF8	4543	4290	1.0587782	4.14E-01
Q4ZG55	GREB1	441	282	1.5637853	4.14E-01
Q6NYC1	JMJD6	2644	2493	1.0606814	4.15E-01
P32418	SLC8A1	21421	19760	1.0840734	4.15E-01
Q9BSG5	RTBDN	1732	2298	0.75365	4.15E-01
P48067	SLC6A9	4878	2935	1.6623142	4.15E-01
Q7RTP0	NIPA1	134	200	0.669799	4.15E-01
Q8IVL1	NAV2	6012	6449	0.9322764	4.16E-01
Q02413	DSG1	4769	4435	1.0752783	4.16E-01
Q96D09	GPRASP2	3188	3027	1.0529634	4.17E-01
Q16875	PFKFB3	12947	12572	1.0298264	4.17E-01
Q9BQI0	AIF1L	1131	1349	0.8379319	4.18E-01
Q5VWQ8	DAB2IP	5674	5701	0.9953907	4.18E-01
Q9H857	NT5DC2	13077	14030	0.9321271	4.18E-01
Q8N5H3	FAM89B	1122	1000	1.1220152	4.19E-01
Q9UPZ3	HPS5	1078	1318	0.8177822	4.19E-01
Q2M296	MTHFSD	3959	4522	0.8753835	4.20E-01
Q9Y619	SLC25A15	7390	6898	1.0713945	4.20E-01
Q86TN4	TRPT1	1521	1693	0.8983465	4.20E-01
Q9C0I1	MTMR12	3154	3305	0.9543144	4.21E-01
Q5R372	RABGAP1L	6661	6098	1.0923559	4.22E-01
Q14766	LTBP1	37150	40293	0.9219835	4.22E-01
Q9H694	BICC1	320	347	0.9211158	4.22E-01
Q92879	CELF1	47727	46088	1.0355507	4.22E-01
P22735	TGM1	1870	1655	1.1294829	4.24E-01
O75530	EED	3359	2747	1.2229037	4.24E-01
Q14117	DPYS	30468	24180	1.2600068	4.24E-01
Q13362	PPP2R5C	6156	6442	0.9555949	4.24E-01
Q9NWU2	GID8	1658	1817	0.9126871	4.24E-01
Q8IWT6	LRRC8A	3572	3742	0.9544575	4.24E-01
Q13686	ALKBH1	570	647	0.8815899	4.24E-01
Q96L96	ALPK3	388366	405452	0.9578587	4.26E-01
P59998	ARPC4	208514	215323	0.9683781	4.26E-01
P56377	AP1S2	11939	12803	0.9325357	4.27E-01
Q9NUP1	BLOC1S4	5491	5182	1.0595866	4.27E-01
O43298	ZBTB43	3733	3366	1.1091189	4.27E-01
O15247	CLIC2	6794	9143	0.7431056	4.27E-01
Q9NYV6	RRN3	4568	3730	1.2247804	4.27E-01
Q66LE6	PPP2R2D	13536	13277	1.0194865	4.27E-01
O95670	ATP6V1G2	946	1064	0.8889062	4.28E-01
Q9BPX5	ARPC5L	43414	41011	1.058596	4.28E-01
Q07617	SPAG1	3311	3516	0.9416523	4.28E-01
O00478	BTN3A3	2279	2719	0.8384402	4.28E-01
Q12873	CHD3	4990	4646	1.0742085	4.30E-01
Q9H0W9	C11orf54	34262	36830	0.9302595	4.30E-01
Q6GTS8	PM20D1	4032	1878	2.1473791	4.31E-01
Q9NPA8	ENY2	8403	7718	1.088772	4.32E-01
Q86UV5	USP48	8467	8751	0.967511	4.32E-01
Q13201	MMRN1	8838	9358	0.944352	4.32E-01
Q99757	TXN2	1600	846	1.8906366	4.32E-01
Q7L1T6	CYB5R4	1096	1184	0.9258223	4.33E-01
Q00013	MPP1	18988	19955	0.9515385	4.33E-01
O75340	PDCD6	38212	39743	0.9614753	4.33E-01
O60573	EIF4E2	5533	5809	0.9524308	4.33E-01
Q5D862	FLG2	5225	4926	1.0606509	4.33E-01
Q8IZU9	KIRREL3	2482	2719	0.9127036	4.34E-01
P35240	NF2	3443	3607	0.9546778	4.35E-01
Q13625	TP53BP2	4719	4586	1.0289269	4.35E-01
O95218	ZRANB2	15037	14626	1.0281014	4.36E-01
Q15545	TAF7	3228	3006	1.0739105	4.36E-01
Q96EX2	RNFT2	3050	2884	1.0575783	4.36E-01
O60488	ACSL4	9741	9330	1.0440745	4.36E-01
Q8N129	CNPY4	8757	7300	1.1997297	4.36E-01
Q8WYA0	IFT81	5019	4834	1.0382717	4.36E-01
O15400	STX7	25710	26579	0.9673083	4.36E-01
Q96NB3	ZNF830	545	609	0.8944081	4.36E-01
Q9Y2C2	UST	695	1681	0.413716	4.37E-01
Q96LD4	TRIM47	1976	3325	0.5944465	4.37E-01
O60503	ADCY9	216	178	1.209186	4.37E-01
Q9UM11	FZR1	972	1194	0.8137488	4.37E-01
Q9H3M7	TXNIP	1063	1184	0.8980635	4.37E-01
Q9C0E8	LNPK	33488	34676	0.965754	4.38E-01
O75317	USP12	14790	15332	0.9646414	4.38E-01
Q9NRF9	POLE3	964	905	1.0656314	4.39E-01
Q9BRT6	LLPH	2335	2497	0.9351372	4.39E-01
P46108	CRK	25821	26858	0.9613799	4.39E-01
Q70CQ3	USP30	1099	1643	0.6692256	4.39E-01
Q8NEM7	SUPT20H	905	868	1.0432366	4.39E-01
Q8TBZ6	TRMT10A	1082	1233	0.8770572	4.39E-01
O75907	DGAT1	4601	4241	1.0850176	4.41E-01
Q96FN9	DTD2	1438	1342	1.0719037	4.41E-01
Q0ZGT2	NEXN	7584	6728	1.1272204	4.41E-01
Q9UBQ7	GRHPR	77209	79551	0.9705601	4.42E-01
Q8IWV8	UBR2	2384	2500	0.953512	4.44E-01
Q5EBM0	CMPK2	6286	6209	1.012347	4.45E-01
Q7L8W6	DPH6	1896	2013	0.9417751	4.45E-01
Q9ULR0	ISY1	16398	17151	0.9561274	4.45E-01
Q8N2W9	PIAS4	514	475	1.0835799	4.46E-01
Q8N137	CNTROB	4272	4618	0.9250974	4.47E-01
